Name1,Name2
DeeDee Halleck,Rodger Larson
Rodger Larson,Lynn Hofer
Rodger Larson,Susan Zeig
Rodger Larson,Jaime Barrios
Rodger Larson,Bruce Speigel 
Rodger Larson,Jaime Barrios
Rodger Larson,Paul Heller
Rodger Larson,Michael Jacobson
Jaime Barrios,Susan Zeig
Susan Zeig,DeeDee Halleck
Bruce Speigel ,Michael Jacobson
Bruce Speigel ,Ted Glass
DeeDee Halleck,Ted Glass
DeeDee Halleck,Yvonne Anderson
DeeDee Halleck,Bruce Speigel 
DeeDee Halleck,Flo Hasbruck
DeeDee Halleck,Flora Hunter
DeeDee Halleck,Gretel King
DeeDee Halleck,Rosalind King
DeeDee Halleck,Connie Martin
DeeDee Halleck,Bonnie Wilkins
DeeDee Halleck,Bay Scott
DeeDee Halleck,Cathy Walter
DeeDee Halleck,Michele Jackson
DeeDee Halleck,Paul Mara
Cliff Fraiser,Paul Heller
Cliff Fraiser,Shirely MacLaine
Cliff Fraiser,Sidney Poitier
Cliff Fraiser,Michael Mayer
Cliff Fraiser,John Ryan
Sidney Poitier,Shirely MacLaine
Sidney Poitier,John Ryan
Shirely MacLaine,John Ryan
Shirely MacLaine,Michael Mayer
Sidney Poitier,Michael Mayer
Paul Heller,Michael Mayer
Paul Heller,John Ryan
Paul Heller,Sidney Poitier
Paul Heller,Shirely MacLaine
Michael Mayer,John Ryan
James Taylor,Margaret Caples
Cliff Fraiser,Margaret Caples
Cliff Fraiser,James Taylor
Margaret Caples,Denise Zacardi 
James Taylor,Denise Zacardi 
Eric Werner,Richard Issacs
Richard Issacs,Oshun Mugwana
Oshun Mugwana,John Bowman
John Bowman,Margaret Caples
Margaret Caples,Tamara LaVille
Tamara LaVille,Ozzie Hawkins
Ozzie Hawkins,Eric Werner
Eric Werner,Tamara LaVille
Richard Issacs,Ozzie Hawkins
Oshun Mugwana,Eric Werner
John Bowman,Richard Issacs
Margaret Caples,Oshun Mugwana
Tamara LaVille,John Bowman
Ozzie Hawkins,Margaret Caples
Eric Werner,Oshun Mugwana
Richard Issacs,John Bowman
Oshun Mugwana,Margaret Caples
John Bowman,Tamara LaVille
Margaret Caples,Ozzie Hawkins
Tamara LaVille,Eric Werner
Ozzie Hawkins,Richard Issacs
Eric Werner,Ozzie Hawkins
Richard Issacs,Eric Werner
Oshun Mugwana,Richard Issacs
John Bowman,Oshun Mugwana
Margaret Caples,John Bowman
Tamara LaVille,Margaret Caples
Ozzie Hawkins,Tamara LaVille
Eric Werner,John Bowman
Richard Issacs,Margaret Caples
Oshun Mugwana,Tamara LaVille
John Bowman,Ozzie Hawkins
Margaret Caples,Eric Werner
Tamara LaVille,Richard Issacs
Ozzie Hawkins,Oshun Mugwana
Eric Werner,Margaret Caples
Richard Issacs,Tamara LaVille
Oshun Mugwana,Ozzie Hawkins
John Bowman,Eric Werner
Margaret Caples,Richard Issacs
Tamara LaVille,Oshun Mugwana
Ozzie Hawkins,John Bowman
Eric Werner,James Taylor
Richard Issacs,James Taylor
Oshun Mugwana,James Taylor
John Bowman,James Taylor
Tamara LaVille,James Taylor
Ozzie Hawkins,James Taylor
Flora Hunter,Gretel King
Gretel King,Rosalind King
Rosalind King,Connie Martin
Connie Martin,Bonnie Wilkins
Bonnie Wilkins,Bay Scott
Bay Scott,Cathy Walter
Cathy Walter,Michele Jackson
Michele Jackson,Flo Hasbruck
Flo Hasbruck,Flora Hunter
Flora Hunter,Rosalind King
Gretel King,Connie Martin
Rosalind King,Bonnie Wilkins
Connie Martin,Bay Scott
Bonnie Wilkins,Cathy Walter
Bay Scott,Michele Jackson
Cathy Walter,Flo Hasbruck
Michele Jackson,Flora Hunter
Flo Hasbruck,Gretel King
Flora Hunter,Connie Martin
Gretel King,Bonnie Wilkins
Rosalind King,Bay Scott
Connie Martin,Cathy Walter
Bonnie Wilkins,Michele Jackson
Bay Scott,Flo Hasbruck
Cathy Walter,Flora Hunter
Michele Jackson,Gretel King
Flo Hasbruck,Rosalind King
Flora Hunter,Bonnie Wilkins
Gretel King,Bay Scott
Rosalind King,Cathy Walter
Connie Martin,Michele Jackson
Bonnie Wilkins,Flo Hasbruck
Bay Scott,Flora Hunter
Cathy Walter,Gretel King
Michele Jackson,Rosalind King
Flo Hasbruck,Connie Martin
Flora Hunter,Bay Scott
Gretel King,Cathy Walter
Rosalind King,Michele Jackson
Connie Martin,Flo Hasbruck
Bonnie Wilkins,Flora Hunter
Bay Scott,Gretel King
Cathy Walter,Rosalind King
Michele Jackson,Connie Martin
Flo Hasbruck,Bonnie Wilkins
Flora Hunter,Cathy Walter
Gretel King,Michele Jackson
Rosalind King,Flo Hasbruck
Connie Martin,Flora Hunter
Bonnie Wilkins,Gretel King
Bay Scott,Rosalind King
Cathy Walter,Connie Martin
Michele Jackson,Bonnie Wilkins
Flo Hasbruck,Bay Scott
Flora Hunter,Michele Jackson
Gretel King,Flo Hasbruck
Rosalind King,Flora Hunter
Connie Martin,Gretel King
Bonnie Wilkins,Rosalind King
Bay Scott,Connie Martin
Cathy Walter,Bonnie Wilkins
Michele Jackson,Bay Scott
Flo Hasbruck,Cathy Walter
