GroupCode,GroupName
1,Monsholu-Montefiore Workshop
2,Lillian Wald Settlment
3,Millenium Film Club
4,92nd Street YM-YWHA
5,Union Settlment
6,Studio Museum of Harlem
7,Film Club/ Young Filmmakers Foundation
8,Henry Street/Movie Club
9,Arts & Film Club at Otisville
10,Middletown Girls Club
11,CD Film Workshop of Boston
12,Yellowball Workshop
13,Community Film Workshop Council
14,Community Film Workshop Council of Chicago
15,Community Film Workshop of Atlanta
16,Community Film Workshop of Visalia
17,Community Film Workshop of Hartford
18,Community Film Workshop of San Juan (Puerto Rico)
19,Community Film Workshop of Santa Fe
20,Appalshop
21,Visual Studies Workshop
22,CTVN
23,Broadside Television
